class,size_bin,total_size,Dice,IoU
1,small,254.9481,0.5975,0.5236
1,medium,1285.4805,0.7403,0.6681
1,large,4955.9125,0.7248,0.6598
2,small,2576.3494,0.6288,0.5313
2,medium,6770.0976,0.7898,0.7064
2,large,13447.3765,0.8262,0.7486
3,small,646.3375,0.6336,0.5609
3,medium,2276.8375,0.7718,0.6927
3,large,4895.939,0.7639,0.6895
