class,size_bin,total_size,Dice,IoU
1,small,254.9481,0.1262,0.0884
1,medium,1285.4805,0.2291,0.1671
1,large,4955.9125,0.2303,0.1729
2,small,2576.3494,0.4717,0.3685
2,medium,6770.0976,0.6388,0.5302
2,large,13447.3765,0.6996,0.5948
3,small,646.3375,0.2528,0.1772
3,medium,2276.8375,0.4161,0.3004
3,large,4895.939,0.4636,0.3427
