class,size_bin,total_size,Dice,IoU
1,small,254.9481,0.6231,0.5478
1,medium,1285.4805,0.7432,0.6695
1,large,4955.9125,0.7471,0.6847
2,small,2576.3494,0.5935,0.489
2,medium,6770.0976,0.782,0.6959
2,large,13447.3765,0.8083,0.7278
3,small,646.3375,0.5801,0.5027
3,medium,2276.8375,0.7695,0.6851
3,large,4895.939,0.7631,0.678
