class,size_bin,total_size,Dice,IoU
1,small,254.9481,0.4051,0.3436
1,medium,1285.4805,0.4994,0.4348
1,large,4955.9125,0.4461,0.3866
2,small,2576.3494,0.5385,0.4379
2,medium,6770.0976,0.7296,0.6415
2,large,13447.3765,0.7663,0.6769
3,small,646.3375,0.519,0.4436
3,medium,2276.8375,0.633,0.5416
3,large,4895.939,0.6213,0.523
