class,size_bin,total_size,Dice,IoU
1,small,254.9481,0.6189,0.5452
1,medium,1285.4805,0.7526,0.6866
1,large,4955.9125,0.7513,0.6911
2,small,2576.3494,0.6517,0.556
2,medium,6770.0976,0.8053,0.7256
2,large,13447.3765,0.8359,0.7627
3,small,646.3375,0.7233,0.645
3,medium,2276.8375,0.8289,0.7573
3,large,4895.939,0.8629,0.798
