class,size_bin,total_size,Dice,IoU
1,small,254.9481,0.572,0.4937
1,medium,1285.4805,0.7258,0.6527
1,large,4955.9125,0.7326,0.6654
2,small,2576.3494,0.614,0.5145
2,medium,6770.0976,0.7795,0.6906
2,large,13447.3765,0.8172,0.736
3,small,646.3375,0.5366,0.465
3,medium,2276.8375,0.7076,0.6219
3,large,4895.939,0.707,0.6263
