class,size_bin,total_size,Dice,IoU
1,small,254.9481,0.3514,0.3018
1,medium,1285.4805,0.4231,0.3766
1,large,4955.9125,0.3796,0.3345
2,small,2576.3494,0.5758,0.468
2,medium,6770.0976,0.7373,0.6414
2,large,13447.3765,0.7611,0.6625
3,small,646.3375,0.505,0.435
3,medium,2276.8375,0.5219,0.456
3,large,4895.939,0.4324,0.3741
