class,size_bin,total_size,Dice,IoU
1,small,254.9481,0.5799,0.4998
1,medium,1285.4805,0.7428,0.6639
1,large,4955.9125,0.7594,0.695
2,small,2576.3494,0.5644,0.453
2,medium,6770.0976,0.7491,0.6515
2,large,13447.3765,0.7908,0.7032
3,small,646.3375,0.448,0.3591
3,medium,2276.8375,0.6739,0.5686
3,large,4895.939,0.6993,0.602
