class,size_bin,total_size,Dice,IoU
1,small,254.9481,0.0615,0.0399
1,medium,1285.4805,0.0684,0.0446
1,large,4955.9125,0.1078,0.0751
2,small,2576.3494,0.5265,0.4113
2,medium,6770.0976,0.6424,0.5165
2,large,13447.3765,0.7043,0.5825
3,small,646.3375,0.1726,0.1201
3,medium,2276.8375,0.1911,0.1255
3,large,4895.939,0.1487,0.0955
