class,size_bin,total_size,Dice,IoU
1,small,181.375,0.6393,0.5663
1,medium,1009.7008,0.8161,0.7487
1,large,3889.9084,0.8632,0.8118
2,small,2280.8848,0.66,0.5583
2,medium,6712.061,0.8048,0.721
2,large,14931.7882,0.854,0.7837
3,small,629.8417,0.5066,0.4244
3,medium,2231.9928,0.6976,0.6006
3,large,5001.8333,0.7364,0.6412
