class,size_bin,total_size,Dice,IoU
1,small,181.375,0.0086,0.0055
1,medium,1009.7008,0.0215,0.0145
1,large,3889.9084,0.0081,0.005
2,small,2280.8848,0.5223,0.4179
2,medium,6712.061,0.682,0.5685
2,large,14931.7882,0.7433,0.6342
3,small,629.8417,0.0608,0.0384
3,medium,2231.9928,0.0806,0.0514
3,large,5001.8333,0.0653,0.0393
