class,size_bin,total_size,Dice,IoU
1,small,181.375,0.7645,0.696
1,medium,1009.7008,0.8885,0.8363
1,large,3889.9084,0.9021,0.8597
2,small,2280.8848,0.7532,0.6714
2,medium,6712.061,0.8615,0.7973
2,large,14931.7882,0.8961,0.8417
3,small,629.8417,0.7768,0.7137
3,medium,2231.9928,0.8869,0.8304
3,large,5001.8333,0.9057,0.8514
