class,size_bin,total_size,Dice,IoU
1,small,181.375,0.2038,0.1697
1,medium,1009.7008,0.4094,0.3588
1,large,3889.9084,0.538,0.4738
2,small,2280.8848,0.5525,0.4552
2,medium,6712.061,0.7336,0.6379
2,large,14931.7882,0.815,0.7314
3,small,629.8417,0.104,0.077
3,medium,2231.9928,0.2546,0.1898
3,large,5001.8333,0.3023,0.222
