class,size_bin,total_size,Dice,IoU
1,small,181.375,0.5003,0.4488
1,medium,1009.7008,0.6445,0.5964
1,large,3889.9084,0.7279,0.676
2,small,2280.8848,0.6673,0.5788
2,medium,6712.061,0.8065,0.73
2,large,14931.7882,0.8523,0.783
3,small,629.8417,0.4308,0.3881
3,medium,2231.9928,0.5848,0.5251
3,large,5001.8333,0.6023,0.5369
