class,size_bin,total_size,Dice,IoU
1,small,181.375,0.4001,0.366
1,medium,1009.7008,0.4504,0.4237
1,large,3889.9084,0.4354,0.414
2,small,2280.8848,0.6512,0.5592
2,medium,6712.061,0.7834,0.698
2,large,14931.7882,0.8157,0.7333
3,small,629.8417,0.4123,0.3722
3,medium,2231.9928,0.4689,0.4287
3,large,5001.8333,0.4793,0.4428
