class,size_bin,total_size,Dice,IoU
1,small,181.375,0.6412,0.581
1,medium,1009.7008,0.752,0.7033
1,large,3889.9084,0.7574,0.7168
2,small,2280.8848,0.6987,0.6079
2,medium,6712.061,0.8074,0.7321
2,large,14931.7882,0.8541,0.7861
3,small,629.8417,0.5797,0.52
3,medium,2231.9928,0.7193,0.6541
3,large,5001.8333,0.7207,0.6597
