class,size_bin,total_size,Dice,IoU
1,small,181.375,0.485,0.4289
1,medium,1009.7008,0.5808,0.5257
1,large,3889.9084,0.6039,0.549
2,small,2280.8848,0.6177,0.5324
2,medium,6712.061,0.7686,0.6887
2,large,14931.7882,0.7918,0.7147
3,small,629.8417,0.5201,0.4541
3,medium,2231.9928,0.6558,0.5738
3,large,5001.8333,0.6873,0.6
