class,size_bin,total_size,Dice,IoU
1,small,181.375,0.1796,0.1342
1,medium,1009.7008,0.2497,0.1895
1,large,3889.9084,0.3132,0.2456
2,small,2280.8848,0.4606,0.3718
2,medium,6712.061,0.6436,0.5409
2,large,14931.7882,0.7072,0.6093
3,small,629.8417,0.2751,0.2027
3,medium,2231.9928,0.4315,0.3201
3,large,5001.8333,0.4621,0.3393
